Source.Name;Time;P1;Q;P2
FE08P100M1.txt;3.5000000000000067e+000;8.8240582190536557e+001;3.1938569660776622e+001;9.3662328486709299e+001
FE08P100M1.txt;3.6000000000000068e+000;8.8536284031813409e+001;3.2448779604033554e+001;9.4153288740756338e+001
FE08P100M1.txt;3.7000000000000068e+000;8.8829565964680626e+001;3.2934106290438301e+001;9.4638004157052350e+001
FE08P100M1.txt;3.8000000000000069e+000;8.9119398143546661e+001;3.3395763294180298e+001;9.5114997832469896e+001
FE08P100M1.txt;3.9000000000000070e+000;8.9404975497214025e+001;3.3834905071088286e+001;9.5583141717716430e+001
FE08P100M1.txt;4.0000000000000071e+000;8.9685699275922687e+001;3.4252633026980760e+001;9.6041564678674533e+001
FE08P100M1.txt;4.1000000000000076e+000;9.0124910350863175e+001;3.4649981643246981e+001;9.6506435849460928e+001
FE08P100M1.txt;4.2000000000000082e+000;9.1174706042515808e+001;3.5027954498635744e+001;9.7223277395719791e+001
FE08P100M1.txt;4.3000000000000087e+000;9.2238026362472382e+001;3.5387493400342741e+001;9.8200362285567621e+001
FE08P100M1.txt;4.4000000000000092e+000;9.3199792664568847e+001;3.5729497382899005e+001;9.9259921059348727e+001
FE08P100M1.txt;4.5000000000000098e+000;9.4077276840886555e+001;3.6054821634401989e+001;1.0030638734147843e+002
FE08P100M1.txt;4.6000000000000103e+000;9.4892235167420296e+001;3.6361618809203563e+001;1.0130729382116454e+002
FE08P100M1.txt;4.7000000000000108e+000;9.5539451193840165e+001;3.2318222084600137e+001;1.0132262361474197e+002
FE08P100M1.txt;4.8000000000000114e+000;9.5921228641647815e+001;3.0705378069439348e+001;1.0134496537277813e+002
FE08P100M1.txt;4.9000000000000119e+000;9.6141492816391676e+001;2.9974115291520953e+001;1.0135527373860022e+002
FE08P100M1.txt;5.0000000000000124e+000;9.6267421204019769e+001;2.9604412452012589e+001;1.0135917531858991e+002
FE08P100M1.txt;5.1000000000000130e+000;9.6339084099491089e+001;2.9402372698029268e+001;1.0136043754674000e+002
FE08P100M1.txt;5.2000000000000135e+000;9.6379714891087445e+001;2.9288811531875552e+001;1.0136055075227544e+002
FE08P100M1.txt;5.3000000000000140e+000;9.6402648138229509e+001;2.9222473122290481e+001;1.0136032821241865e+002
FE08P100M1.txt;5.4000000000000146e+000;9.6415515141670326e+001;2.9183288226524077e+001;1.0135985117395620e+002
FE08P100M1.txt;5.5000000000000151e+000;9.6422673234654908e+001;2.9161206841881345e+001;1.0135927506745600e+002
FE08P100M1.txt;5.6000000000000156e+000;9.6426480274263042e+001;2.9148091516974795e+001;1.0135858189620954e+002
FE08P100M1.txt;5.7000000000000162e+000;9.6428357200054066e+001;2.9140297635727300e+001;1.0135781289887088e+002
FE08P100M1.txt;5.8000000000000167e+000;9.6429085919012763e+001;2.9135653806942486e+001;1.0135697865029285e+002
FE08P100M1.txt;5.9000000000000172e+000;9.6429232068676768e+001;2.9132508000776888e+001;1.0135608677339042e+002
FE08P100M1.txt;6.0000000000000178e+000;9.6429023007174337e+001;2.9130239791468000e+001;1.0135514375815417e+002
FE08P100M1.txt;6.1000000000000183e+000;9.6428590887960695e+001;2.9128492703022076e+001;1.0135415329516827e+002
FE08P100M1.txt;6.2000000000000188e+000;9.6428019179521200e+001;2.9127017202558186e+001;1.0135312010423237e+002
FE08P100M1.txt;6.3000000000000194e+000;9.6427350866771008e+001;2.9125708310916423e+001;1.0135204471361513e+002
FE08P100M1.txt;6.4000000000000199e+000;9.6426614334871104e+001;2.9124504953801448e+001;1.0135093291556255e+002
FE08P100M1.txt;6.5000000000000204e+000;9.6425826960455694e+001;2.9123353257618824e+001;1.0134978565674534e+002
FE08P100M1.txt;6.6000000000000210e+000;9.6425004084885330e+001;2.9122205311902491e+001;1.0134860505309554e+002
