Source.Name;Time;P1;Q;P2
F02P100M1.txt;0.0000000000000000e+000;1.5000000000000000e+000;-4.0000000000000000e+000;1.5000000000000000e+000
F02P100M1.txt;1.0000000000000023e-001;3.2234744867187222e+000;-3.9278808884972922e+000;1.9835767275953906e+000
F02P100M1.txt;2.0000000000000046e-001;8.4954329437550040e+000;-3.6118411214161932e+000;4.5143952202513695e+000
F02P100M1.txt;3.0000000000000071e-001;1.4676788065952099e+001;-3.0557762242362712e+000;9.9595147682752412e+000
F02P100M1.txt;4.0000000000000091e-001;2.0898178334716874e+001;-2.2936264293048287e+000;1.6721024413422747e+001
F02P100M1.txt;5.0000000000000111e-001;2.7055261815777818e+001;-1.3452938602085958e+000;2.3598624611323164e+001
F02P100M1.txt;6.0000000000000131e-001;3.3054978722208375e+001;-2.2144936750307931e-001;3.0273302800002263e+001
F02P100M1.txt;7.0000000000000151e-001;3.8841317666005601e+001;1.0704497825425481e+000;3.6675826410593956e+001
F02P100M1.txt;8.0000000000000171e-001;4.4390587046570673e+001;2.5235363780670088e+000;4.2785716935506926e+001
F02P100M1.txt;9.0000000000000191e-001;4.9697116583931020e+001;4.1309314818275773e+000;4.8589409734255334e+001
F02P100M1.txt;1.0000000000000022e+000;5.4763178352688790e+001;5.8856360406115016e+000;5.4073194930812434e+001
F02P100M1.txt;1.1000000000000025e+000;5.9589542389068690e+001;7.6667079603185240e+000;5.9217487695319861e+001
F02P100M1.txt;1.2000000000000028e+000;6.4155823619165076e+001;9.3607481953063871e+000;6.4001083217082808e+001
F02P100M1.txt;1.3000000000000032e+000;6.8425556883511717e+001;1.0972127345837233e+001;6.8416880246928656e+001
F02P100M1.txt;1.4000000000000035e+000;7.2357653064661136e+001;1.2504896184163943e+001;7.2461478157595650e+001
F02P100M1.txt;1.5000000000000038e+000;7.5899262016675607e+001;1.3962901480007197e+001;7.6144799384123161e+001
F02P100M1.txt;1.6000000000000041e+000;7.9000979501785551e+001;1.5349796879013383e+001;7.9453157606273138e+001
F02P100M1.txt;1.7000000000000044e+000;8.1606231031342134e+001;1.6669051462524415e+001;8.2354937778652939e+001
F02P100M1.txt;1.8000000000000047e+000;8.3639596039204960e+001;1.7923965028562584e+001;8.4807057454612547e+001
F02P100M1.txt;1.9000000000000050e+000;8.5105190908966975e+001;1.9117675538201382e+001;8.6784914914643338e+001
F02P100M1.txt;2.0000000000000053e+000;8.6016246709611607e+001;2.0253167978814080e+001;8.8301528327439229e+001
F02P100M1.txt;2.1000000000000054e+000;8.6487095691871346e+001;2.1333282836313725e+001;8.9389716068609687e+001
F02P100M1.txt;2.2000000000000055e+000;8.6716017663478681e+001;2.2360718919895103e+001;9.0159379861503126e+001
F02P100M1.txt;2.3000000000000056e+000;8.6861896649794176e+001;2.3338045815625897e+001;9.0741541401946876e+001
F02P100M1.txt;2.4000000000000057e+000;8.7011157658901283e+001;2.4267708039459258e+001;9.1240683236680297e+001
F02P100M1.txt;2.5000000000000058e+000;8.7196908388191517e+001;2.5152030461558024e+001;9.1721362082260683e+001
F02P100M1.txt;2.6000000000000059e+000;8.7424921051240830e+001;2.5993223859474654e+001;9.2215226283847969e+001
